"QAINDEX";"CLINIC";"QUESTION";"ANSWER";"SNAPSHOT"
650;"儿科";"闺女打针回来睡一觉满脸通红";"宝妈您好，很高兴为你接诊，请稍等，我仔细看一下您发的报告（图片、问题），咨询将在20次对话或者半小时后关闭，请注意把握时间。 宝妈您好，请问宝宝打的什么针呢？ 嗯，宝宝体温高吗？ 嗯，这是疫苗的副作用导致的 问题不大 嗯，有体温计吗？ 嗯，宝宝这是疫苗导致的 问题不大 建议先给宝宝空空肚子 让宝宝胃肠道休息一下 嗯，是的宝妈 等宝宝不吐了，多给宝宝喝水 一般2-3天就可以了";2020/3/19
651;"儿科";"小孩头上摔了个包怎么消肿";"你好，宝宝摔多久了？ 冷敷，土豆片敷一敷 外用一点芦荟膏 那应该问题不大 那不碍事，哄一哄 需要观察一天，观察有没有嗜睡，呕吐，精神不好。 那就不碍事 如果出现嗜睡呕吐，精神不好，就做。没有就不用。 好的";2020/3/19
652;"儿科";"三岁宝宝手脚都真菌感染了怎么办";"你好！这种情况多长时间了？ 可以用达克宁 化验真菌了吗 可以用 先用碘伏看看 嗯嗯，先清洗再用 可以 可以用炉甘石洗剂 擦碘伏吧 曲咪新可以止痒 不用醋 对 曲咪新也可以杀菌 对，碘伏是起消毒作用 还是碘伏消毒后用曲咪新可以止痒 理解理解 不客气,祝宝贝健康成长！";2020/3/19
653;"儿科";"新生儿一个月大,近期流清鼻涕,打喷嚏,呼吸有呼噜声";"现在这种情况明显是呼吸道感染造成的 多数与受凉有关系 可以的 注意环境温度变化 有关系的 不排除环境温度低造成的 常温的是没有问题的 那就没有问题的 不需要的 可以给孩子适当喂温水调节 不客气";2020/3/19
654;"儿科";"新生儿头上有个类似于头皮屑的东西是什么";"亲，你好 发个图片 那个是一片吗。宝宝面部有没有湿疹 宝宝头发太长，建议理发处理，很好的看清楚 宝宝多大了，这种情况几天了 是什么快掉了？头发吗？还是 头皮？这看的不清楚 父母有吗 哦，那就有可能";2020/3/19
655;"儿科";"宝宝几天不拉大便是什么原因";"你好，请问宝宝多大了？ 吃母乳还是奶粉？ 这几天吃的很少吗？ 宝宝吃的少，拉的可能也少。 宝宝肚子胀不胀？ 考虑宝宝有肠道胀气，消化功能紊乱。 可以给宝宝口服肠道益生菌和帮助消化的药物，观察治疗。 吃妈咪爱几天啦。 益生菌有好几种，可以换其他品种吃。 配合醒脾养儿颗粒等帮助消化的药物。 其他没有什么，可以给宝宝腹部按摩一下。 嗯嗯好的 积食一般指的是宝宝吃多了，吃撑着了。 宝宝是吃多了吗？ 孕婴店卖的一般都是保健品，建议给宝宝吃药品。 布拉氏酵母菌，双歧杆菌，酪酸梭菌等都可以。 可以给宝宝吃药观察一下。 考虑宝宝有点消化不良。 同时可以采取中医手法，捏脊治疗，增加宝宝食欲。 可以继续吃健脾胃的药物。 嗯嗯好的";2020/3/19
656;"儿科";"宝宝大便黄绿色正常吗";"宝宝多大了大便一天几次， 宝宝精神状态怎么样？吃奶怎样？ 那宝宝大便一天几次？是粘稠状的还是稀补妆？ 稀薄样 那宝宝精神状态怎么样？吃奶怎么样？ 那考虑应该有点消化不良也会很严重，平时多注意防护，好避免腹部受凉，可以益生菌观察， 如果母乳喂养的话，妈妈需要控制饮食，忌生凉油腻刺激性食物， 给宝宝吃了什么药？ 那宝宝大便这个年龄段大便一天两三次，两三天一次，大便只要是黄色粘稠样的大便不干燥难排都是正常的， 宝宝只要精神状态正常，吃奶正常，大便黄色的粘稠样的大便，不建议乱吃药，可以适当的顺时针按摩腹部，配合益生菌观察即可， 去要看宝宝大便持续多长时间，那宝宝如果大便两三天粘稠样的大便不能排的话，不需要吃药， 一般两三天解粘稠样的大便，不难排就不需要吃药， 宝宝如果有消化不良表现，吃药的话，如果吃改善消化的药物，可以吃三五天观察， 不客气祝宝宝健康成长！";2020/3/19
657;"儿科";"两岁三个月的宝宝吃布洛芬退烧药吃多少";"您好！宝宝的体重多少啊？ 体温多少次 各个厂家剂量不一样，你把你的这个药剂量发过来看看 没有颗粒吗？ 可以吃到1/4到1/3片 可以吃 孩子多喝水，观察体温变化  各个不一样，一般1-2小时 吃药后多喝水 除了发热还有其他症状吗 可以给孩子吃清热解毒药物，观察体温变化 祝孩子早日康复";2020/3/19
658;"儿科";"6岁孩子腿抖怎么回事呢";"你好，你的这种情况持续多长时间 你好，它两只腿都抖吗？ 你有没有给她做过体检？有没有化验过微量元素？ 你好。像这种情况，我还是建议你去给他检查一个微量元素，看他有没有缺钙的表现？有时候宝宝缺钙神经兴奋性就比较高。容易出现这种情况。第二种原因要检查一下他的神经系统。看他到底是肌肉的问题，还是神经的问题。 你好。因为单纯的抖它只是一个症状，他肯定有其他的原因。一般首先要排除疾病，因素。然后我们才考虑是心理因素。 但是一个人睡觉还是和妈妈一块睡。 睡前有没有看过刺激性的电视？手机或者是恐怖的影片";2020/3/19
659;"儿科";"宝宝乳糖不耐受应该怎么调理饮食";"您好，宝宝现在多大了啊？ 我的建议：1、宝宝少食多餐、尽量吃母乳、吃奶不能过急；2、宝宝做排气操，即可排气又可促进胃肠蠕动；3、母亲保持心情愉悦，多食高纤维素及蔬菜类食物，如绿叶蔬菜等食物；4、母亲少食坚果类食物，如花生、核桃、板粟等，少吃咖啡、浓茶、饮料等。5、用药物调节：布拉氏酵母菌有利于消化及调节胃肠功能，小儿健脾化积口服液可以健脾开胃。思密达可以止泻。有需要有这里可以开给您。如果需要我开药,请告诉我一声,该平台可以安全把药送到家。 消化不良 可以吃乳糖酶 可以 可以 半个月";2020/3/19
660;"儿科";"小孩3岁心脏三尖瓣关闭不全轻度";"你好，一般轻度的关闭不全，这个一般不影响孩子的生长发育。 如果宝宝没有任何症状，你就不用担心。可以定期给他复查。如果孩子有明显的心慌，气短或者是活动后，明显的气短。心前区不适。像这种情况的话。可能要给孩子做手术的。 稍等，我看一下。 你当时为什么去给孩子做这个b超的？ 从这个b超单子上来看。像这种情况可能是需要处理的。首先要纠正她的肺动脉高压。这个肺动脉个高压。有可能就是由于这个三尖瓣反流导致的。 因为现在已经有轻度的肺动脉高压了，所以。还是稍微有点严重。 这个是必须处理的，因为如果继续在加重的话，宝宝就会有明显的症状。就会有呼吸困难。气短心慌的表现。 你好，现在已经不需要开刀了。现在有个介入手术。是比较可靠的，可以给他做介入。 你好，没有看到我发的信息吗？ 这个治疗费可能稍微有点大，因为在心脏上做手术。 具体的费用是多少？这个不太清楚，因为各地的收费标准也不一样。 一般选择三甲医院。三甲的儿童医院，他们的医疗条件以及师资力量比较好。 你好，因为现在他已经出现了肺动脉高压。所以这种情况我还是建议你及时去给他治疗，首先手术做不做可以暂时放一下，这个肺动脉高压必须现在解决。 你好，这个是需要用药的。 要用扩张血管的药物。 是的";2020/3/19
661;"儿科";"宝宝一岁前额红肿老是睡着又哭醒怎么办";"你好，宝宝还有别的症状吗？ 有没有查头颅CT 可以在红肿部位冷敷 如果精神状态不佳应该查头颅CT 也可以冷敷 可以的 主要就是观察精神状态 如果有呕吐，精神状态不佳一定要查头颅CT 不客气,祝宝贝健康成长！ 不客气";2020/3/19
662;"儿科";"五岁孩子睡觉出汗多是什么原因";"现在这种情况出现多久了 白天有没有这种情况 孩子是否偏食 有没有给孩子补充过钙剂 多汗与维生素D摄入量不足有关系的 最好补充钙剂调节 现在这种情况给孩子服用维生素D滴剂及碳酸钙颗粒调节 服用钙剂补充 需要补充一段时间的 补充四周以上 不客气";2020/3/19
663;"儿科";"两岁宝宝一氧化碳中毒呕吐是不是没有后遗症";"亲你好 是的亲 如果有中毒很快就有表现了 什么意思？ 轻中度中毒一般都不会有后遗症的 如果中毒会有表现的 如果中毒即使第二天白天孩子也会有嗜睡乏力表现 是的";2020/3/19
664;"儿科";"小孩在晚上睡觉前和早上醒来时都想拉屎又拉不出来,是什么原因";"这种情况有多久了？有什么诱因吗 宝宝大便干燥吗？多长时间排一次大便？ 大便是什么样的？ 宝宝大便干不干？ 排便时很困难吗？ 宝宝进食正常吗？ 肚子胀不胀？ 宝宝睡不着，可能会有想排便的感觉，可能是精神作用。 宝宝排尿不正常吗？不是拉屎拉不出来吗？ 越睡不着，越想尿排尿。 一般人都有这样的现象。 宝宝化验尿了吗？都正常吗？ 宝宝外阴部红不红？ 考虑和把尿关系不大。 没有什么科学依据";2020/3/19
665;"儿科";"孩子晚上睡觉前肚子疼";"宝宝这样多长时间了？ 腹痛严重吗？有没有腹泻恶心呕吐？ 疼痛严重吗？一直痛还是一阵一阵的， 那这两天有没有吃什么生凉的东西？ 有没有去医院做过超声？ 那宝宝出现腹痛胃肠道反应，这两天最重要的是防护好，避免腹部受凉，需要控制饮食，忌生凉油腻刺激性食物，补充最常见的就是肠绞痛，也需要排除一下肠系膜淋巴结炎， 那宝宝反复好几天了，如果明天还反复的话，建议给宝宝检查一下超声，宝宝需要控制饮食的，疼痛的时候可以适当的热敷缓解， 最主要的是看一下肠系膜淋巴结， 一般疼痛不是很严重，多注意控制饮食，避免腹部受凉，适当的热敷可以缓解， 以前吃没问题，这两天也需要控制饮食的，需要忌生凉刺激性食物， 正常情况下仰卧位俯卧位，侧卧位都是正常的，只要宝宝舒服就可以， 不客气祝宝宝健康成长！";2020/3/19
666;"儿科";"八个月宝宝摔倒在床上";"你好：宝宝有什么症状？ 是从床上摔下来了吗？ 宝宝当时有什么症状，有没有恶心？呕吐，精神好不好？ 你好，床上有没有床垫。 宝宝当时有没有明显的恶心呕吐？ 哭闹能不能安抚下来？ 一般有床垫的话没有多大的问题。 只要当时没有出现明显的恶心呕吐。基本上不会出现大脑的损伤。 小宝宝，出现磕磕碰碰是很常见的。同时它的骨骼肌肉比较柔韧，所以受损伤的几率不大。 像这种情况就不用担心了。 嗯，没事的 就是把宝宝吓了一下。 不客气，以上是我的咨询建议，如有不清楚的可以继续提问，我会尽力解答。欢迎关注我的诊所，点击医生头像，进入主页，左下角有“关注”按钮，了解更多的科普健康知识。（如果没有关注按钮的也不要着急，如果下次有问题，可以继续来这个平台，搜索我的姓名，找我咨询。）祝宝宝健康快乐！";2020/3/19
667;"儿科";"小孩身上起了好多疙瘩咋回事";"宝妈你好！宝宝这个情况多久了？ 其他地方有吗？ 有发烧吗？ 有水泡吗？ 宝宝挠吗？ 考虑婴儿皮肤过敏，建议用氧化锌软膏+丹皮酚软膏，这个组合不含激素副作用小，效果好。如果需要我这里可以开给您。如果需要我开药,请告诉我一声,该平台可以安全把药送到家。丹皮酚软膏：成分是丹皮酚和丁香油。丹皮酚：从毛莨科植物牡丹的干燥根皮中提取物出来的一种有效成分。具有镇痛、抗炎、解热和抑制变态反应的作用。丁香油：桃金娘科番樱桃属植物提取的油。氧化锌的软膏由氧化锌和凡士林组成,没有任何刺激,是非处方的药物,有消炎、止痒、滋润的作用,对于皮炎、湿疹、瘙痒、皮肤干燥都有作用。对于小孩儿、孕妇都比较安全,没有年龄和性别的差异,特别有时不适合用激素药膏时,用氧化锌则安全又有效。具有比较强的消炎止痒作用,有虫咬、皮炎、湿疹时都可以应用。 现在有什么药？";2020/3/19
668;"儿科";"2个月宝宝嘴里流拉拉和水是的怎么回事";"宝妈你好！宝宝这个情况多久了？ 是奶粉喂养还是母乳喂养？ 需要检查一下宝宝的口腔有没有鹅口疮或者疱疹等情况。 是出现奶后多久出现的情况？ 流口水这种情况是吃奶之后出现的情况还是安静的时候出现的情况呢？ 那宝宝就是出现了流口水的情况，一般属于唾液腺逐渐成熟的一个表现，奶后建议多排背，防止出现溢奶，也可以检查一下宝宝的口腔有没有鹅口疮的情况。";2020/3/19
669;"儿科";"小儿金翘和利巴韦林能一块用吗";"你好，孩子多大了？有什么症状？ 利巴韦林可以停，口服意义不大 首先考虑病毒感染，主要是对症处理，口服中成药效果不错的 小儿金翘都是中成药，查过血常规吗 可以口服银黄颗粒，每次半袋，每天两次调理，观察是否能缓解 宝宝口服这么长时间，效果不佳，可以更换，观察是否能缓解 如果时间长，病情好转不明显，最好到当地医院再次就诊，避免延误病情，做到早诊断，早治疗，早预防，毕竟网络问诊有限，不能查体，只能凭经验指导用药 祝宝宝早日康复！";2020/3/19
670;"儿科";"八个月宝宝摔倒在床上";"你好：宝宝有什么症状？ 是从床上摔下来了吗？ 宝宝当时有什么症状，有没有恶心？呕吐，精神好不好？ 你好，床上有没有床垫。 宝宝当时有没有明显的恶心呕吐？ 哭闹能不能安抚下来？ 一般有床垫的话没有多大的问题。 只要当时没有出现明显的恶心呕吐。基本上不会出现大脑的损伤。 小宝宝，出现磕磕碰碰是很常见的。同时它的骨骼肌肉比较柔韧，所以受损伤的几率不大。 像这种情况就不用担心了。 嗯，没事的 就是把宝宝吓了一下。 不客气，以上是我的咨询建议，如有不清楚的可以继续提问，我会尽力解答。欢迎关注我的诊所，点击医生头像，进入主页，左下角有“关注”按钮，了解更多的科普健康知识。（如果没有关注按钮的也不要着急，如果下次有问题，可以继续来这个平台，搜索我的姓名，找我咨询。）祝宝宝健康快乐！";2020/3/19
671;"儿科";"小孩身上起了好多疙瘩咋回事";"宝妈你好！宝宝这个情况多久了？ 其他地方有吗？ 有发烧吗？ 有水泡吗？ 宝宝挠吗？ 考虑婴儿皮肤过敏，建议用氧化锌软膏+丹皮酚软膏，这个组合不含激素副作用小，效果好。如果需要我这里可以开给您。如果需要我开药,请告诉我一声,该平台可以安全把药送到家。丹皮酚软膏：成分是丹皮酚和丁香油。丹皮酚：从毛莨科植物牡丹的干燥根皮中提取物出来的一种有效成分。具有镇痛、抗炎、解热和抑制变态反应的作用。丁香油：桃金娘科番樱桃属植物提取的油。氧化锌的软膏由氧化锌和凡士林组成,没有任何刺激,是非处方的药物,有消炎、止痒、滋润的作用,对于皮炎、湿疹、瘙痒、皮肤干燥都有作用。对于小孩儿、孕妇都比较安全,没有年龄和性别的差异,特别有时不适合用激素药膏时,用氧化锌则安全又有效。具有比较强的消炎止痒作用,有虫咬、皮炎、湿疹时都可以应用。 现在有什么药？";2020/3/19
672;"儿科";"2个月宝宝嘴里流拉拉和水是的怎么回事";"宝妈你好！宝宝这个情况多久了？ 是奶粉喂养还是母乳喂养？ 需要检查一下宝宝的口腔有没有鹅口疮或者疱疹等情况。 是出现奶后多久出现的情况？ 流口水这种情况是吃奶之后出现的情况还是安静的时候出现的情况呢？ 那宝宝就是出现了流口水的情况，一般属于唾液腺逐渐成熟的一个表现，奶后建议多排背，防止出现溢奶，也可以检查一下宝宝的口腔有没有鹅口疮的情况。";2020/3/19
673;"儿科";"5岁孩子用过开塞露以后老是说屁股滑...";"您好！这里是小儿科的急诊咨询，您的问题不是我们科室的，您找肛肠科科室进行咨询，该问题请联系客服退款。使用APP咨询客户，请在个人中心，联系在线客服退款，其他网页版，公众号，小程序咨询的用户请致电客服电话4000018855退款。客服上班时间早10点到晚7点，感谢信任！祝您早日康复。";2020/3/19
674;"儿科";"四个月宝宝每天晚上都哭，到点就哭";"您好！宝宝这种情况多长时间了？ 这叫夜啼郎，有很多原因可以引起。 缺钙，胃肠功能发育不完善导致的消化不良，饥饿以及室内环境不适合宝宝安静入睡，都可以导致宝宝哭闹。 宝宝的肚子胀不胀，排气排便正常吗？ 如果不是缺钙引起，也没有明显的腹部不适，宝宝能够吃饱，并且室内也是安静的。如果排除所有这些因素，并且宝宝身体是健康的，没有疾病的状态，那说明宝宝的这种表现是闹觉。 如果一直没有补充鱼肝油，宝宝有可能缺钙。 即使正常补充鱼肝油，如果宝宝睡眠过程中表现为睡眠不踏实，出汗比较多，甚至伴有呕吐等表现以及骨骼的异常，或者颅骨像乒乓球一样的表现，这都是缺钙的症状。 这些表现都没有，那就属于闹觉，闹觉属于一种正常现象，是宝宝在睡眠前想要告诉大人不想睡觉，但又很困。 对于没有任何原因，睡前哭闹的宝宝是很难改善的。只能通过妈妈轻轻的爱抚，让宝宝尽量安静一些。 睡前不要吃得太饱，也不要过于饥饿。如果宝宝的肚子胀，适当给宝宝揉一揉肚子。 将宝宝抱到胸前，让宝宝听一听妈妈的心跳，这些都有助于宝宝能安静一些的。 最好带宝宝到儿童保健科检查一下身体，看宝宝的生长发育情况，以及是否有腹部不适的症状。宝宝已经4个月也建议查血常规和微量元素了。 看是否有贫血或者微量元素的缺乏。 采末梢血检查 宝宝在出生42天，三个月6个月都需要做儿童保健检查的。 待疫情过去后，给宝宝做一下体检。 是疾病引起的苦恼，医生是有办法治疗的，但如果单纯是闹觉，这属于情绪问题，作为儿科医生真的办法不多。 所以宝宝的这个哭闹属于闹觉，不是疾病引起的。 闹觉不是疾病引起的，所以儿科医生没有办法。 可以咨询一下儿童保健科的医生，看他们是否有这方面的经验。 祝宝宝健康快乐成长，再见。 实在对不起，有些问题确实没有办法给你解决的。";2020/3/19
675;"儿科";"小儿金翘和利巴韦林能一块用吗";"你好，孩子多大了？有什么症状？ 利巴韦林可以停，口服意义不大 首先考虑病毒感染，主要是对症处理，口服中成药效果不错的 小儿金翘都是中成药，查过血常规吗 可以口服银黄颗粒，每次半袋，每天两次调理，观察是否能缓解 宝宝口服这么长时间，效果不佳，可以更换，观察是否能缓解 如果时间长，病情好转不明显，最好到当地医院再次就诊，避免延误病情，做到早诊断，早治疗，早预防，毕竟网络问诊有限，不能查体，只能凭经验指导用药 祝宝宝早日康复！";2020/3/19
676;"儿科";"宝宝背部有红色小圈";"你好！这种情况多长时间了？ 其他部位有没有？ 痒不痒？ 用过什么治疗了吗？ 有一点湿疹，皮炎 可以用一点丹皮酚软膏 这个图片有一点真菌感染 可以丹皮酚软膏和特比萘芬乳膏交替用 这个效果一般 这个湿疹可以用 都有 不客气！";2020/3/19
677;"儿科";"宝宝指甲与第一关节中间长个包";"你好，很高兴为你解答！ 这种情况多长时间了呢？ 只有这一个指头，是吗？ 从照片上来看，初步考虑是局部发炎了 能理解 初步考虑是发炎了 局部涂抹红霉素眼膏 这个作用不大 是不会伤到骨头的 也不会伤到指甲的，这个你放心 先局部涂抹红霉素眼膏，观察效果 嗯嗯，是的，应该效果可以 如果没效果，要么就去医院面诊，让医生亲眼看看 普通儿科，或者皮肤科 你是说红霉素眼膏吗？ 还是邮寄什么？ 从照片上来看，估计自愈的可能性不是太大 当然有的宝宝慢慢就好了我的建议最好用点药 口服消炎药，效果慢一点 没有局部用药起效快 嗯嗯，是的，所以建议还是用药治疗吧 客气了，应该的，如果还有什么需要咨询的，请留言！ 晚安！";2020/3/19
678;"儿科";"14个月宝宝大便困难次数反复怎么办";"你好，宝宝奶粉吃多久了？ 是同一个品牌的奶粉是吗？ 吃了两个多月，才出现这个情况，应该不是奶粉的 辅食吃的有什么特殊吗？ 绿色的蔬菜吃不吃？ 辅食都吃什么了？ 可以的 绿色的蔬菜也要吃 这么大，不用打成泥了，切碎就可以 养成良好的睡眠习惯，不能太晚睡，养成早睡早起，有助于生长发育的。 就是绿色的蔬菜吃的少，这么大的宝宝完全就可以吃大人炒的菜，给它稍微碎一点，放在粥里。 嗯嗯，不要喝完马上睡觉，不消化 辅食绿色蔬菜加上马上就好了 食物不能吃的太精细咯 三顿辅食 你得让孩子自己嚼，锻炼就好了 锻炼锻炼就好了 如果实在排不出来，难受。可以用一次开塞露 把开塞露先挤出来，涂在肛门上 然后再往肛门里挤点 可以睡着了用开塞露 不客气 平时不能吃的太精细了，再把蔬菜加上 这是饮食结构不当导致的 益生菌是一方面，饮食结构也得调整 不客气";2020/3/19
679;"儿科";"宝宝2个月20天特别厌烦奶瓶怎么办";"宝妈您好，很高兴为你接诊，请稍等，我仔细看一下您发的报告（图片、问题），咨询将在20次对话或者半小时后关闭，请注意把握时间。 宝妈您好，请问宝宝大小便怎么样？ 嗯，据您描述的症状，宝宝这是有点消化不良 问题不大 您给宝宝用药了吗？ 嗯，妈咪爱属于肠道益生菌 可以的 建议您规律给宝宝口服2-3天 一般就会好的 如果还不好，可以给宝宝查一下大便常规看看 也可以给宝宝喝点醒脾养儿颗粒 调节脾胃，增加食欲 平时可以给宝宝顺时针揉揉肚子 促进肠蠕动，促进消化，宝妈 嗯，宝宝添加奶瓶多长时间了？ 这个宝宝都有一个适应的过程 嗯，那宝宝就是不认奶瓶 可以给宝宝换奶粉试试 宝宝可能是不喜欢奶瓶里奶粉的味道 奥，奶瓶换过吗？ 宝宝母乳吃的很好？ 嗯，这个有可能的 宝宝都有这样一个特点 有乳头不喜欢奶瓶 建议宝妈继续观察 这个没有病理意义 祝宝宝身体健康，快乐成长 不客气宝妈";2020/3/19
680;"儿科";"宝宝几个小时没有尿，老是哭闹，为什么?";"这种情况有多久了？有什么诱因吗？ 感冒没有？ 您好，请问宝宝多大了？ 多大宝宝？ 吃奶好不好？ 大便正常吗？ 宝宝补充维生素D了么？宝宝肚子涨不涨？ 尿少和吃的少或家里热缺水，孩子出汗多等都有关系 孩子出汗没有？家里热不热？ 那会尿少，适当喝点水补充水分增加尿量 没尿要及时喝水补充水分 将尿不湿取掉 观察 带尿不湿不好观察 是的，捂尿不湿可能尿少发现不了 小鸡是胀吗？ 孩子现在哭闹没？ 看着也没有太胀 哭闹平时要按时补维生素d 促进钙吸收 肚子胀不舒服或缺维生素d钙吸收不良都会哭闹不安 白天吃的好不好？奶减少没有？ 有没有尿的少，尿到尿不湿没发现这种可能？ 吃较平时减少没有？吃的少也会尿少 先补充水分，再喝点水看看 这么小宝宝一般晚上会尿，如不尿，哭闹不安还是进一步检查一下什么原因 如果精神状态好，不哭不闹可以适当喝水先观察";2020/3/19
681;"儿科";"宝宝老说肚子疼却拉不出便便";"您好，这种情况多长时间了？ 有便秘吗？ 考虑肠狡痛我的建议：1.喂奶后的拍背、打嗝、腹部按摩、少量多次喂等方式有助减轻腹部胀气，避免剌激宝宝出现肠绞痛。2.一部分宝宝的肠绞痛与食物蛋白过敏或乳糖不耐受有关，特别是有湿疹和有腹泻的宝宝。3.有效的药物：宝宝用西甲硅油乳剂+布拉氏酵母菌，效果好，必要时用654-II。如果需要我这里可以开给您。如果需要我开药,请告诉我一声,该平台可以安全把药送到家。 不是 肠痉挛 引起的腹痛 尽量不要吃这些";2020/3/19
682;"儿科";"9个多月宝宝吐奶怎么办";"你好，宝宝还有别的症状吗？ 一天排便几次？ 可以吃益生菌 顺时针按摩腹部促进肠蠕动 与消化有关 1-2周 暂时不考虑肠套叠 与断奶有关 如果不放心的话可以查一下腹部彩超 上面的描述考虑肠套叠的可能性小 注意喂奶后拍嗝，喂奶时不要咽入过多气体 顺时针按摩腹部 还可以配合腹部热敷 不客气,祝宝贝健康成长！ 不客气";2020/3/19
683;"儿科";"11岁儿童不睡觉说心里有火难受怎么回事";"孩子现在体温多少度 消化是否正常 孩子白天是否正常 你现在提示这种情况考虑上腹部不适症状 不排除饮食不当刺激造成的 尽量避免凉的及刺激性食物";2020/3/19
684;"儿科";"9岁孩子摔到后脑勺有点恶心有问题吗";"您好，请问宝宝这样多久了？ 宝宝现在恶心、想吐吗？ 头疼的厉害吗？ 宝宝头上的包大吗？ 如果没有明显的头疼呕吐现象，可以等待观察一下。 如果包比较大可以用冷毛巾敷一下。 可以先观察一两个小时看看。 如果宝宝症状逐渐加重，要赶快到医院做进一步检查。 嗯嗯是的 如果宝宝有头疼恶心的症状，也要到医院去做检查。 可以给宝宝少量喝一些温开水。 用冷毛巾敷一下。 现在就可以到医院做检查。 嗯嗯好的";2020/3/19
685;"儿科";"6个月宝宝睡觉仰着睡正常吗";"你好，宝宝有什么不适症状吗？ 没事的。 他自己舒服，睡的好就行。 没事的 非常希望我的回答能够得到您满意的评价，您的满意就是对我最好的感谢，我做儿科医生已经三十多年了，每年门诊量在万人次以上，是当地名医。要是没问题了，麻烦您给我一个“满意”评价（评价按钮在页面右上角，问题关闭后页面下面也可评价）。推荐指数高了，就有机会帮助到更多的朋友，谢谢您的支持和鼓励";2020/3/19
686;"儿科";"一吃普通奶粉嘴周就红,没过多久就全身起红籽籽,是怎么回事";"您好！我是儿科医生张博，很高兴为您答疑解惑。您的问题我已收到，您还有其它的图片或检查报告吗，有的话请发给我，这样能更好的帮助您解决问题。急速问诊是30min内医患有20次交流机会，为了增加有限时间内的交流效率，建议您详细描述病患的具体情况，并提交相关的病例资料。我看到后会统一回复哟。且建议您及时查看手机推送的消息，避免问题关闭后您的问题没有得到解答！ 孩子吃这个威化饼了吗？ 那可能就是这个微化饼的某种成分导致孩子过敏了。 现在就是有可能对里面的某种东西过敏了，孩子本身就是过敏体质。 应该不是这个奶粉的原因，这个奶粉一般不是不会过敏的。 可以继续给孩子吃，你今天暂时观察，如果明天还是多的话，就涂点炉甘石洗剂。 可以擦就擦吧，应该有明显效果。 宝宝这个奶粉本身就是防过敏的奶粉了，所以说这个奶粉的可能性不大。 客气了，不用谢，祝宝宝健康。有什么问题可以随时联系，一定会为你尽力解答的。 尽量单独喂奶粉，尽量不一起吃，不过这么大了，吃点也是没事的。 客气了，不用谢，祝宝宝健康。有什么问题可以随时联系，一定会为你尽力解答的。 不要给宝宝再加葡萄糖了，这个葡萄糖也不要再加了。";2020/3/19
687;"儿科";"小孩头上突然起了个包";"你好，请问有图片吗？发过来看看 出现多久了呢？ 有没有受伤？摸起来是硬的吗？ 这种有可能是蚊虫叮咬的，或者是外伤后引起的。 如果没有外伤突然肿起来的这种情况，很可能是有蚊虫叮咬，可以涂抹丹皮酚乳膏。 照片上看着没那么红，但是包比较大，可以先涂上卫生巾养的药，如果孩子明显哭闹不舒服的话，那么我们再到医院。 这种会出现痛痒，外伤引起的话一般我们是局部冷敷促进吸收，如果是蚊虫叮咬的话，主要是涂药缓解瘙痒疼痛不舒服。 没有外伤是突然肿大的，这个很可能是蚊虫叮咬的。一般也要3~5天才会消退。 因为没有发现明显的诱因，所以主要看孩子的症状，如果孩子状态还好，那我们就在家里观察护理，如果孩子哭闹难以安抚，建议到医院就诊观察。 可以明天给宝宝涂上。";2020/3/19
688;"儿科";"4岁儿童突然打机灵没有任何不适怎么回事";"您好 孩子是寒战吗？ 多长时间了？ 孩子自己有什么不舒服？ 四肢抖吗？还是全身抖？ 清嗓子多长时间了？ 孩子有没有面部不正常的表情，挤眉弄眼、咧嘴等小动作 孩子的情况抽动症的可能性大 做过什么检查吗 这几天不要过度关注孩子的情况，不要给孩子太大压力，观察看看，如果还是有这种情况，建议带孩子做检查，反复出现的，需要口服药物治疗 和钙没有关系 抽动症可能性大 把孩子发作时录下来让医生面诊的时候看看，如果检查脑电图和头颅核磁要查 也是排除大脑其他疾病来诊断的 这几天先观察看看吧，尽量录下来 这个短时间对孩子没有影响，观察几天看看 如果很快消失了就观察 清嗓子可以是咽炎的症状，也可以是抽动症表现 如果近期孩子没有感冒，没有嗓子炎症，考虑抽动症的可能 可以吃维生素D，吃东西好的，钙没有要求补充 祝孩子健康";2020/3/19
689;"儿科";"小孩3岁心脏三尖瓣关闭不全轻度（女...";"你好。这种情况是很常见的。只要孩子没有任何症状，可以暂时不用管它。 如果孩子有症状，比如说平时有心慌，气短或者是有明显的。活动后。气短。心前区不适。那么像这种情况，需要给他做一个分离手术。";2020/3/19
690;"儿科";"小孩3岁心脏三尖瓣关闭不全轻度（女...";"你好。这种情况是很常见的。只要孩子没有任何症状，可以暂时不用管它。 如果孩子有症状，比如说平时有心慌，气短或者是有明显的。活动后。气短。心前区不适。那么像这种情况，需要给他做一个分离手术。";2020/3/19
691;"儿科";"一个月了母乳性黄疸13.2可以继续喂母乳吗";"孩子现在的黄疸值是多少？ 可以 问题不大的 可以吃布拉氏酵母菌 可以 可以吃布拉氏酵母菌 请给个满评，谢谢您！祝您的宝宝：平安健康。如果有需要。点击我的头像，可以随时咨询我。";2020/3/19
